city,state,country,source,wmonum,latitude,longitude,timezone,elevation,link
Berlin Municipal,NH,USA,TMY3,726160,44.58,-71.18,-5,353,http://apps1.eere.energy.gov/buildings/energyplus/weatherdata/4_north_and_central_america_wmo_region_4/1_usa/USA_NH_Berlin.Muni.AP.726160_TMY3.zip
Kingsville/NAS,TX,USA,TMY--12928,722516,27.5,-97.82,-6,15,http://apps1.eere.energy.gov/buildings/energyplus/weatherdata/4_north_and_central_america_wmo_region_4/1_usa/USA_TX_Kingsville.722516_TMY.zip
CHATTANOOGA,TN,USA,TMY2-13882,723240,35.03,-85.2,-5,210,http://apps1.eere.energy.gov/buildings/energyplus/weatherdata/4_north_and_central_america_wmo_region_4/1_usa/USA_TN_Chattanooga.723240_TMY2.zip
Imperial,CA,USA,TMY3,747185,32.83,-115.58,-8,-17,http://apps1.eere.energy.gov/buildings/energyplus/weatherdata/4_north_and_central_america_wmo_region_4/1_usa/USA_CA_Imperial.County.AP.747185_TMY3.zip
Esfahan,-,IRN,ITMY,408000,32.37,51.4,3,1550,http://apps1.eere.energy.gov/buildings/energyplus/weatherdata/2_asia_wmo_region_2/IRN_Esfahan.408000_ITMY.zip
Lewiston,ID,USA,TMY--24149,727830,46.36,-117.01,-8,437,http://apps1.eere.energy.gov/buildings/energyplus/weatherdata/4_north_and_central_america_wmo_region_4/1_usa/USA_ID_Lewiston-Nez.Perce.County.AP.727830_TMY.zip
Martinsville,VA,USA,TMY3,745985,36.63,-80.02,-5,287,http://apps1.eere.energy.gov/buildings/energyplus/weatherdata/4_north_and_central_america_wmo_region_4/1_usa/USA_VA_Martinsville-Blue.Ridge.AP.745985_TMY3.zip
ANKANG/XING'AN,-,CHN,SWERA,572450,32.72,109.03,8,291,http://apps1.eere.energy.gov/buildings/energyplus/weatherdata/2_asia_wmo_region_2/CHN_Shaanxi.Ankang.572450_SWERA.zip
LONG_BEACH,CA,USA,TMY2-23129,722970,33.82,-118.15,-8,17,http://apps1.eere.energy.gov/buildings/energyplus/weatherdata/4_north_and_central_america_wmo_region_4/1_usa/USA_CA_Long.Beach.722970_TMY2.zip
Greenwood Leflore Arpt,MS,USA,TMY3,722359,33.5,-90.08,-6,47,http://apps1.eere.energy.gov/buildings/energyplus/weatherdata/4_north_and_central_america_wmo_region_4/1_usa/USA_MS_Greenwood-Leflore.AP.722359_TMY3.zip
Suifenhe,Heilongjiang,CHN,CSWD,540960,44.38,131.17,8,567.8,http://apps1.eere.energy.gov/buildings/energyplus/weatherdata/2_asia_wmo_region_2/CHN_Heilongjiang.Suifenhe.540960_CSWD.zip
Hotan,Xinjiang Uygur,CHN,CSWD,518280,37.13,79.93,8,1375,http://apps1.eere.energy.gov/buildings/energyplus/weatherdata/2_asia_wmo_region_2/CHN_Xinjiang.Uygur.Hotan.518280_CSWD.zip
Lincoln Municipal Arpt,NE,USA,TMY3,725510,40.83,-96.77,-6,357,http://apps1.eere.energy.gov/buildings/energyplus/weatherdata/4_north_and_central_america_wmo_region_4/1_usa/USA_NE_Lincoln.Muni.AP.725510_TMY3.zip
Nome,AK,USA,TMY--26617,702000,64.5,-165.43,-9,7,http://apps1.eere.energy.gov/buildings/energyplus/weatherdata/4_north_and_central_america_wmo_region_4/1_usa/USA_AK_Nome.Muni.AP.702000_TMY.zip
SHENZHEN,-,CHN,SWERA,594930,22.55,114.1,8,18,http://apps1.eere.energy.gov/buildings/energyplus/weatherdata/2_asia_wmo_region_2/CHN_Guangdong.Shenzhen.594930_SWERA.zip
Miramichi,NB,CAN,WYEC2-e-71744,717440,47.02,-65.45,-4,33,http://apps1.eere.energy.gov/buildings/energyplus/weatherdata/4_north_and_central_america_wmo_region_4/3_canada/CAN_NB_Miramichi.717440_CWEC.zip
Flint Bishop Intl Arpt,MI,USA,TMY3,726370,42.97,-83.75,-5,234,http://apps1.eere.energy.gov/buildings/energyplus/weatherdata/4_north_and_central_america_wmo_region_4/1_usa/USA_MI_Flint-Bishop.Intl.AP.726370_TMY3.zip
Songpan,Sichuan,CHN,CSWD,561820,32.65,103.57,8,2850.7,http://apps1.eere.energy.gov/buildings/energyplus/weatherdata/2_asia_wmo_region_2/CHN_Sichuan.Songpan.561820_CSWD.zip
